标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
金融城高新南三环精装套一宜家家居品牌家电地铁口,2100,49平方米,精装修,普通住宅,天府长城图南多>高新区>天府长城,天府长城图南多,高新区,天府长城
肖家河街玉林中学小学3楼套一，全装全配空调,1600,38.6平方米,简单装修,普通住宅,清芷苑>高新区>肖家河,清芷苑,高新区,肖家河
鼓楼北二街81号院 1室1厅1卫 1400元月 配套齐全,1400,11平方米,精装修,公寓,鼓楼北二街81号院>青羊>天府广场,鼓楼北二街81号院,青羊,天府广场
套一带阳台 家具家电齐全 府河星城 欢乐谷旁 拎包住,1100,50平方米,精装修,普通住宅,府河星城馨苑>金牛>欢乐谷,府河星城馨苑,金牛,欢乐谷
长城苑 1室0厅2卫 950元月 20平 配套齐全,950,20平方米,简单装修,普通住宅,长城苑>金牛>九里堤,长城苑,金牛,九里堤
红光广场 龙城国际 独立1室1厅 电梯房 精装修 带空调,1100,50平方米,精装修,普通住宅,龙城国际>郫都>红光,龙城国际,郫都,红光
(月付)花牌坊地铁口(家电全交通方便可短租）,600,14平方米,精装修,平房,马河湾1号院>金牛>花牌坊,马河湾1号院,金牛,花牌坊
免中介，誉峰公寓出租2450月,2450,40平方米,精装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
套一带空调 带阳台 1100元 府河星城 拎包入住 电梯小区,1100,45平方米,精装修,普通住宅,府河星城馨苑>金牛>欢乐谷,府河星城馨苑,金牛,欢乐谷
地铁口附近 精装套一 价格实惠,800,44平方米,精装修,普通住宅,星光小区>龙泉驿>航天片区,星光小区,龙泉驿,航天片区
便宜套一 家电齐全1空调 双流万达 优品道 中心公园 拎包入,1400,50平方米,精装修,普通住宅,东立国际花城>双流>东升镇,东立国际花城,双流,东升镇
鼓楼北二街40号院 1室1厅1卫 1200元月 南北通透,1200,11平方米,精装修,公寓,鼓楼北二街40号院>青羊>天府广场,鼓楼北二街40号院,青羊,天府广场
牛市口 国嘉新视界 精装套一 全装全配 温馨舒适 临地铁,2300,50平方米,简单装修,普通住宅,国嘉新视界>锦江>牛市口,国嘉新视界,锦江,牛市口
天府五街 地铁口 精装套一,1400,46平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
万科天荟东郊记忆建设路sm广场龙湖三千集电子科大春熙路339,1680,45平方米,精装修,普通住宅,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
高新区天府三街 世豪广场 精装套一 拎包入住 家具全 地铁口,1700,60平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
金堂大学城希望未来城精装套一长租700一个月,700,33平方米,精装修,普通住宅,希望未来城(一期)>金堂>三星,希望未来城(一期),金堂,三星
龙湖物业!天府三街 大源欢乐颂套一 银泰城阿里巴巴 锦城南府,1700,45平方米,精装修,普通住宅,大源欢乐颂(商住楼)>高新区>大源,大源欢乐颂(商住楼),高新区,大源
金融城新上管家服务式公寓首租复地金融到湾流汇 中国华商环球旁,4500,60平方米,豪华装修,公寓,复地金融岛>高新区>金融城,复地金融岛,高新区,金融城
高新区南延线软件园孵化园美年广场地铁一号线,1800,58平方米,精装修,普通住宅,怡馨家园>高新区>南延线,怡馨家园,高新区,南延线
高新区 一号线五根松地铁口 直达软件园 怡馨家园精装套一出租,1800,65平方米,精装修,普通住宅,怡馨家园>高新区>南延线,怡馨家园,高新区,南延线
天府三街 地铁口 银泰城 金融城 精装套一 锦城南府 通燃气,3000,60平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
高新大源 汇锦城 套一出租1800  配置完善 看房方便,1800,48平方米,精装修,公寓,天合汇锦城(商住楼)>高新区>大源,天合汇锦城(商住楼),高新区,大源
衣冠庙地铁站肖家河北街3楼套一，全装全配空调，拎包入住,1700,43.5平方米,精装修,普通住宅,肖家河东一巷13号院>高新区>肖家河,肖家河东一巷13号院,高新区,肖家河
近地铁7号线大观押一付一成都东站槐树店东门大桥春熙路锦华万达,1750,78平方米,精装修,普通住宅,兴城嘉苑三期>成华>火车东站,兴城嘉苑三期,成华,火车东站
必看好房 伊藤洋华堂 首创爱这城 温馨套一 客厅带阳台,2400,60平方米,精装修,普通住宅,首创爱这城>成华>建设路,首创爱这城,成华,建设路
国嘉新视界 1室1厅1卫 2300元月 南北通透 精装修,2300,50平方米,精装修,普通住宅,国嘉新视界>锦江>牛市口,国嘉新视界,锦江,牛市口
天府三街 楠香山 精装套一 拎包入住,1600,56平方米,精装修,普通住宅,楠香山>高新区>中和,楠香山,高新区,中和
花牌坊地铁口附近整租套一家电齐全设备配套齐全独门独户随时看房,800,20平方米,简单装修,公寓,抚林巷6号院>金牛>花牌坊,抚林巷6号院,金牛,花牌坊
天府三街 地铁口 银泰城 金融城 精装套一 锦城南府 通燃气,2000,55平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
汇锦城水街 天府一街锦城湖公园 世龙公馆 润莱金座 精装套一,3000,65平方米,精装修,普通住宅,世龙广场>高新区>世纪城,世龙广场,高新区,世纪城
中医大地铁口附近整租套一家电齐全设备配套齐全独门独户随时看房,800,20平方米,简单装修,公寓,牧电路6号院>青羊>西南财大,牧电路6号院,青羊,西南财大
汇融国际居然之家附近 金像雅苑装修套一 拎包入住,1400,46平方米,简单装修,普通住宅,金像雅苑>锦江>成仁路,金像雅苑,锦江,成仁路
(月付)太升南路地铁口(家电全交通方便可短租）,600,14平方米,精装修,平房,玉泉南苑>青羊>青羊周边,玉泉南苑,青羊,青羊周边
时代晶座 1室1厅1卫 1250元月 电梯房 精装修,1250,56平方米,精装修,普通住宅,时代晶座>新津>新津城区,时代晶座,新津,新津城区
石油大学旁 精装套一 采光很好 随时看房 性价比高,1000,35平方米,简单装修,普通住宅,我的大学>新都>石油大学,我的大学,新都,石油大学
高新区天府三街 锦城南府 精装套一 通天然气 地铁楼下 采光,2000,55平方米,精装修,公寓,锦城南府(商住楼)>高新区>大源,锦城南府(商住楼),高新区,大源
天府广场地铁口附近整租套一家电齐全拎包入住设备配套齐全环境好,800,20平方米,简单装修,公寓,东华门街8号院>青羊>天府广场,东华门街8号院,青羊,天府广场
IFS 太古里现代景观套一 密码锁配套齐全随时看另晶融汇天廊,4500,80平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
温馨套一，牛市口地铁国嘉新视界电梯,2300,50平方米,精装修,普通住宅,国嘉新视界>锦江>牛市口,国嘉新视界,锦江,牛市口
(月付)衣冠庙地铁口(家电全交通方便可短租）,600,14平方米,精装修,平房,祥和苑(南区)>高新区>肖家河,祥和苑(南区),高新区,肖家河
(月付)红星桥地铁口(家电全交通方便可短租）,600,14平方米,精装修,平房,太升苑>青羊>草市街,太升苑,青羊,草市街
市二医院地铁口附近整租套一家电齐全设备配套齐全拎包入住环境好,800,20平方米,简单装修,公寓,武成大街35号院>锦江>大慈寺,武成大街35号院,锦江,大慈寺
(月付)人民公园地铁口(家电全交通方便可短租）,600,14平方米,精装修,平房,顺和苑(锦江)>锦江>莲桂路,顺和苑(锦江),锦江,莲桂路
融信时代广场 套一工作室 1166元月,1166,46平方米,精装修,普通住宅,融信时代广场>新津>新津城区,融信时代广场,新津,新津城区
太升南路地铁口附近整租套一家电齐全拎包入住独立厨房随时看房,800,20平方米,简单装修,公寓,内姜街50号院>青羊>天府广场,内姜街50号院,青羊,天府广场
押一付一近地铁大观成都东站琉璃厂锦江万达塔子山339春熙路,1550,53平方米,豪华装修,普通住宅,兴城嘉苑一期B区>成华>火车东站,兴城嘉苑一期B区,成华,火车东站
二环府南新区快速公交，石室联中旁，7楼套一，仅900元月,900,55平方米,毛坯,普通住宅,文艺苑>青羊>府南新区,文艺苑,青羊,府南新区
外金沙 成都西站附近 Coco金沙二期 拎包入住 随时看房哦,1700,30平方米,精装修,普通住宅,蓝光COCO金沙(二期)>青羊>外金沙,蓝光COCO金沙(二期),青羊,外金沙
软件园旁 地铁口 精装套二 拎包入住 交通便捷 小区环境优美,1900,40平方米,精装修,公寓,正成南郡(商住楼)>高新区>中和,正成南郡(商住楼),高新区,中和
春熙路地铁口附近整租套一家电齐全独门独户独立厨房可月付环境好,800,20平方米,简单装修,公寓,红星路一段35号院>锦江>东教场,红星路一段35号院,锦江,东教场
骡马市地铁口附近整租套一家电齐全拎包入住设备配套齐全随时看房,1500,20平方米,简单装修,普通住宅,人民中路二段小区>青羊>八宝街,人民中路二段小区,青羊,八宝街
武侯大道地铁口附近 广厦小区 套一出租 随时看房,1300,35平方米,精装修,普通住宅,交大花园广厦小区>武侯>五大花园,交大花园广厦小区,武侯,五大花园
金融城誉峰 润富国际精装套一 悠方旁带车位 拎包入住中海国际,2600,42平方米,精装修,普通住宅,润富国际花园>高新区>金融城,润富国际花园,高新区,金融城
瑞升明院 1室1厅1卫 1600元月 电梯房 60平,1600,60平方米,精装修,普通住宅,瑞升明院>双流>航空港,瑞升明院,双流,航空港
天府三街 香榭国际 精装套一 拎包入住,1500,46平方米,精装修,公寓,香榭国际(二期)>高新区>中和,香榭国际(二期),高新区,中和
套一出租.可押一付一.家电齐全.随时看房,1350,60平方米,简单装修,普通住宅,方正街20号院>青羊>太升路,方正街20号院,青羊,太升路
蜀汉路营门奥林体育馆附近，3楼家具家电齐全，干净整洁拎包入住,1200,43平方米,简单装修,普通住宅,五里墩横街43号院>金牛>营门口,五里墩横街43号院,金牛,营门口
外光华 中坝地铁口 妇女儿童医院旁 蓝光精装套一 拎包入住,1900,50平方米,精装修,普通住宅,蓝光SOFA社区>青羊>万家湾,蓝光SOFA社区,青羊,万家湾
高新区天府三街 保利星座 精装套一 拎包住 家具家电全 地铁,1700,55平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
格林君典 1室1厅1卫 1600元月 南北通透 电梯房,1600,50平方米,精装修,普通住宅,格林君典>高新区>中和,格林君典,高新区,中和
急租！天府五街地铁口附近 软件园对面交通便利随时看房拎包入住,2000,60平方米,精装修,公寓,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
武侯区 高升桥地铁口 罗马假日广场 西南民族大学 拎包入住,1300,30平方米,精装修,普通住宅,罗浮世家(二期)>武侯>高升桥,罗浮世家(二期),武侯,高升桥
出租金融城地铁口套一润富誉峰国际中海，奥克斯悠方规划馆现代风,3200,50平方米,精装修,公寓,润富国际花园(商住楼)>高新区>金融城,润富国际花园(商住楼),高新区,金融城
成都高新区金融城地铁口空房工作室出租！誉峰悠方天府新谷奥克斯,3700,80平方米,精装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
真实实拍交子大道地铁口精装一居室中央空调润富国际誉峰遇见悠方,3000,52平方米,精装修,普通住宅,润富国际花园>高新区>金融城,润富国际花园,高新区,金融城
金融城出租精装套一地铁口，中海天府新谷悠方誉峰润富！拎包入住,3000,52平方米,精装修,普通住宅,润富国际花园(商住楼)>高新区>金融城,润富国际花园(商住楼),高新区,金融城
金融城润富国际  豪装套一  水电气三通，五号线交子大道旁,3200,52平方米,豪华装修,公寓,润富国际花园(商住楼)>高新区>金融城,润富国际花园(商住楼),高新区,金融城
金融城交子大道润富精装套一 带阳台 仁和春天中海国际拎包入住,3000,51平方米,精装修,普通住宅,润富国际花园(商住楼)>高新区>金融城,润富国际花园(商住楼),高新区,金融城
出租金融城地铁口精装住家套一，奥克斯悠方誉峰中海天府新谷中航,2600,40平方米,豪华装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
金融城地铁口精装套一出租，中海悠方仁和新城誉峰！奥克斯拎包住,2500,45平方米,精装修,公寓,誉峰遇见>高新区>金融城,誉峰遇见,高新区,金融城
海椒市莲花小区 全装标间 配套齐全房子漂亮 交通生活便,1100,33平方米,简单装修,普通住宅,东桂苑>锦江>海椒市,东桂苑,锦江,海椒市
大成郡精装套一 诚心出租近东航中心机场棠外临棠湖春天随时看房,2000,60平方米,精装修,普通住宅,大成郡>双流>航空港,大成郡,双流,航空港
花牌坊 新城市广场 可月付无中介 宽窄巷子 骡马市,1750,43平方米,精装修,普通住宅,西大国际>金牛>营门口,西大国际,金牛,营门口
金融城 银泰中心 誉峰华商现代套一  奥克斯 银泰in99,3500,65平方米,精装修,普通住宅,中航国际交流中心>高新区>金融城,中航国际交流中心,高新区,金融城
急租！骑龙地铁口欧尚旁软件园华府大道直达，精装修套一随时看房,2000,50平方米,精装修,公寓,亿城国际>双流>华府,亿城国际,双流,华府
